epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
101,1945.85,0.89628,1.51428,0.81339,0.98937,0,0.95856,0.86957,0.91102,0.74389,0.98351,0.86462,0.92913,0.65037,0.69997,1.06583,0.7579,0.93569,0,0.000841835,0.000841835,0.000841835
102,1964.22,0.86789,1.46196,0.74298,0.95235,0,0.9671,0.85199,0.91158,0.74301,0.98355,0.86649,0.92409,0.65158,0.71874,1.07698,0.76541,0.93931,0,0.000833583,0.000833583,0.000833583
103,1981.39,0.94613,1.72025,0.78981,0.99191,0,0.9671,0.85199,0.91158,0.74301,0.98355,0.86649,0.92409,0.65158,0.71874,1.07698,0.76541,0.93931,0,0.000825332,0.000825332,0.000825332
104,1999.39,0.93131,1.61843,0.74043,0.98064,0,0.96759,0.86543,0.91804,0.7513,1,0.86862,0.93174,0.6711,0.71981,1.06546,0.75269,0.94027,0,0.00081708,0.00081708,0.00081708
105,2016.58,0.96444,1.71002,0.75536,0.9585,0,0.96759,0.86543,0.91804,0.7513,1,0.86862,0.93174,0.6711,0.71981,1.06546,0.75269,0.94027,0,0.000808828,0.000808828,0.000808828
106,2032.91,0.96337,1.67424,0.77024,1.01255,0,0.98381,0.88051,0.93234,0.75815,0.97921,0.86957,0.93545,0.6773,0.70425,1.08691,0.72491,0.936,0,0.000800577,0.000800577,0.000800577
107,2051.2,0.94314,1.62495,0.7756,0.94773,0,0.98381,0.88051,0.93234,0.75815,0.97921,0.86957,0.93545,0.6773,0.70425,1.08691,0.72491,0.936,0,0.000792325,0.000792325,0.000792325
108,2067.55,0.83625,1.36006,0.75417,0.97625,0,0.99106,0.88406,0.93398,0.76303,1,0.87541,0.93196,0.65965,0.7052,1.11555,0.71061,0.93496,0,0.000784073,0.000784073,0.000784073
109,2086.16,0.86338,1.4257,0.7336,0.9543,0,0.99106,0.88406,0.93398,0.76303,1,0.87541,0.93196,0.65965,0.7052,1.11555,0.71061,0.93496,0,0.000775822,0.000775822,0.000775822
110,2105.39,0.78296,1.33911,0.69761,0.95537,0,0.96809,0.87943,0.91862,0.74491,0.98428,0.90755,0.93042,0.64494,0.71806,1.1493,0.71783,0.93063,0,0.00076757,0.00076757,0.00076757
111,2122.07,0.81808,1.36095,0.73537,0.96517,0,0.96809,0.87943,0.91862,0.74491,0.98428,0.90755,0.93042,0.64494,0.71806,1.1493,0.71783,0.93063,0,0.000759318,0.000759318,0.000759318
112,2138.19,0.88868,1.59067,0.76553,0.95862,0,0.96339,0.88406,0.91336,0.74513,0.98432,0.90979,0.92896,0.64418,0.7274,1.14072,0.72711,0.93088,0,0.000751067,0.000751067,0.000751067
113,2155.07,0.77409,1.39589,0.69145,0.9489,0,0.96339,0.88406,0.91336,0.74513,0.98432,0.90979,0.92896,0.64418,0.7274,1.14072,0.72711,0.93088,0,0.000742815,0.000742815,0.000742815
114,2172.79,0.84775,1.57351,0.86942,1.04216,0,0.93652,0.88406,0.9091,0.74431,0.96722,0.91304,0.92879,0.65595,0.71227,1.10564,0.73772,0.92912,0,0.000734564,0.000734564,0.000734564
115,2191.19,0.80124,1.35981,0.71274,0.94984,0,0.93652,0.88406,0.9091,0.74431,0.96722,0.91304,0.92879,0.65595,0.71227,1.10564,0.73772,0.92912,0,0.000726312,0.000726312,0.000726312
116,2211.2,0.84174,1.44945,0.77789,0.97735,0,0.93689,0.88406,0.90605,0.7536,0.95245,0.89855,0.93892,0.65507,0.70693,1.10311,0.72683,0.92883,0,0.00071806,0.00071806,0.00071806
117,2231.99,0.87652,1.54387,0.77924,0.98088,0,0.93689,0.88406,0.90605,0.7536,0.95245,0.89855,0.93892,0.65507,0.70693,1.10311,0.72683,0.92883,0,0.000709809,0.000709809,0.000709809
118,2253.47,0.89179,1.63411,0.74963,1.01099,0,0.94263,0.89855,0.92467,0.75582,0.94263,0.89855,0.93812,0.64315,0.71418,1.13235,0.73642,0.93357,0,0.000701557,0.000701557,0.000701557
119,2274.6,0.79753,1.3812,0.70471,0.94189,0,0.94263,0.89855,0.92467,0.75582,0.94263,0.89855,0.93812,0.64315,0.71418,1.13235,0.73642,0.93357,0,0.000693305,0.000693305,0.000693305
120,2294.41,0.80947,1.47012,0.74716,0.9929,0,0.93197,0.88406,0.90444,0.74534,0.94771,0.89855,0.93821,0.65268,0.71543,1.10435,0.72815,0.93249,0,0.000685054,0.000685054,0.000685054
121,2315.16,0.96856,1.794,0.83547,0.97576,0,0.93197,0.88406,0.90444,0.74534,0.94771,0.89855,0.93821,0.65268,0.71543,1.10435,0.72815,0.93249,0,0.000676802,0.000676802,0.000676802
122,2334.53,0.96604,1.73563,0.89157,1.01964,0,0.92415,0.88293,0.90075,0.73331,0.95195,0.85507,0.93353,0.64359,0.72329,1.09395,0.72693,0.93044,0,0.00066855,0.00066855,0.00066855
123,2354.1,0.83195,1.57728,0.77764,1.02316,0,0.92415,0.88293,0.90075,0.73331,0.95195,0.85507,0.93353,0.64359,0.72329,1.09395,0.72693,0.93044,0,0.000660299,0.000660299,0.000660299
124,2375.43,0.9077,1.59776,0.75162,0.98095,0,0.92339,0.88406,0.90119,0.74445,0.95929,0.84058,0.91009,0.64542,0.70934,1.09277,0.73257,0.93129,0,0.000652047,0.000652047,0.000652047
125,2396.43,0.86605,1.40376,0.74085,0.93887,0,0.92339,0.88406,0.90119,0.74445,0.95929,0.84058,0.91009,0.64542,0.70934,1.09277,0.73257,0.93129,0,0.000643795,0.000643795,0.000643795
126,2415.44,0.82583,1.38869,0.67067,0.92965,0,0.90962,0.87523,0.9077,0.74405,0.94608,0.85507,0.91971,0.65138,0.7038,1.0786,0.73035,0.93698,0,0.000635544,0.000635544,0.000635544
127,2434.55,0.86146,1.50163,0.74861,0.98132,0,0.90962,0.87523,0.9077,0.74405,0.94608,0.85507,0.91971,0.65138,0.7038,1.0786,0.73035,0.93698,0,0.000627292,0.000627292,0.000627292
128,2455.81,0.82264,1.33208,0.68535,0.95207,0,0.87179,0.86957,0.90033,0.72912,0.90364,0.86957,0.92332,0.64582,0.72299,1.07484,0.75166,0.94801,0,0.00061904,0.00061904,0.00061904
129,2477.59,0.81752,1.39598,0.69618,0.93908,0,0.87179,0.86957,0.90033,0.72912,0.90364,0.86957,0.92332,0.64582,0.72299,1.07484,0.75166,0.94801,0,0.000610789,0.000610789,0.000610789
130,2496.99,0.72078,1.11731,0.67442,0.95876,0,0.84906,0.89678,0.9148,0.72666,0.91126,0.89301,0.9397,0.67293,0.741,1.06539,0.75746,0.9482,0,0.000602537,0.000602537,0.000602537
131,2517,0.84371,1.47052,0.71529,0.93465,0,0.84906,0.89678,0.9148,0.72666,0.91126,0.89301,0.9397,0.67293,0.741,1.06539,0.75746,0.9482,0,0.000594286,0.000594286,0.000594286
132,2538.96,0.92577,1.73746,0.77698,0.98685,0,0.88651,0.90568,0.93976,0.74691,0.89782,0.91304,0.9323,0.68114,0.7106,1.04637,0.74386,0.93982,0,0.000586034,0.000586034,0.000586034
133,2559.74,0.76644,1.35087,0.67494,0.94983,0,0.88651,0.90568,0.93976,0.74691,0.89782,0.91304,0.9323,0.68114,0.7106,1.04637,0.74386,0.93982,0,0.000577782,0.000577782,0.000577782
134,2580.43,0.74544,1.15699,0.63416,0.96393,0,0.90561,0.86957,0.92912,0.76006,0.92729,0.92416,0.94047,0.68181,0.68198,1.03269,0.7241,0.93172,0,0.000569531,0.000569531,0.000569531
135,2602.72,0.83514,1.38982,0.73199,0.97534,0,0.90561,0.86957,0.92912,0.76006,0.92729,0.92416,0.94047,0.68181,0.68198,1.03269,0.7241,0.93172,0,0.000561279,0.000561279,0.000561279
136,2625.92,0.78115,1.33209,0.6489,0.91773,0,0.9114,0.89454,0.93844,0.75607,0.95375,0.8967,0.93577,0.68361,0.68845,1.04308,0.71722,0.92898,0,0.000553027,0.000553027,0.000553027
137,2647.47,0.8244,1.35822,0.72946,0.98872,0,0.9114,0.89454,0.93844,0.75607,0.95375,0.8967,0.93577,0.68361,0.68845,1.04308,0.71722,0.92898,0,0.000544776,0.000544776,0.000544776
138,2669.45,0.83059,1.42149,0.73362,0.97275,0,0.9371,0.86376,0.9342,0.76165,0.95301,0.88185,0.94714,0.66431,0.6881,1.05496,0.70349,0.93014,0,0.000536524,0.000536524,0.000536524
139,2689.53,0.86728,1.48286,0.72539,0.95811,0,0.9371,0.86376,0.9342,0.76165,0.95301,0.88185,0.94714,0.66431,0.6881,1.05496,0.70349,0.93014,0,0.000528272,0.000528272,0.000528272
140,2712.25,0.89382,1.46814,0.78331,0.95832,0,0.95796,0.86957,0.93544,0.76612,0.95796,0.86957,0.93152,0.65818,0.67662,1.05428,0.68931,0.93102,0,0.000520021,0.000520021,0.000520021
141,2735.19,0.89815,1.56611,0.83715,1.00687,0,0.95796,0.86957,0.93544,0.76612,0.95796,0.86957,0.93152,0.65818,0.67662,1.05428,0.68931,0.93102,0,0.000511769,0.000511769,0.000511769
142,2756.87,0.87955,1.57052,0.77754,0.96949,0,0.99456,0.88406,0.94024,0.76203,0.99456,0.88406,0.94117,0.67804,0.66864,1.02757,0.66456,0.92862,0,0.000503517,0.000503517,0.000503517
143,2778.89,0.89504,1.66748,0.75177,1.02755,0,0.99456,0.88406,0.94024,0.76203,0.99456,0.88406,0.94117,0.67804,0.66864,1.02757,0.66456,0.92862,0,0.000495266,0.000495266,0.000495266
144,2798.14,0.74755,1.18138,0.70207,0.92634,0,0.96318,0.89855,0.93874,0.76816,0.95501,0.92303,0.95141,0.68464,0.65418,1.00544,0.65263,0.92272,0,0.000487014,0.000487014,0.000487014
145,2816.46,0.91147,1.67175,0.7865,0.97753,0,0.96318,0.89855,0.93874,0.76816,0.95501,0.92303,0.95141,0.68464,0.65418,1.00544,0.65263,0.92272,0,0.000478762,0.000478762,0.000478762
146,2833.77,0.83862,1.48316,0.72807,0.95672,0,0.97634,0.88406,0.93892,0.78489,0.95517,0.92638,0.95273,0.67863,0.63156,1.00745,0.64596,0.91502,0,0.000470511,0.000470511,0.000470511
147,2852.04,0.94143,1.723,0.76764,0.99323,0,0.97634,0.88406,0.93892,0.78489,0.95517,0.92638,0.95273,0.67863,0.63156,1.00745,0.64596,0.91502,0,0.000462259,0.000462259,0.000462259
148,2869.84,0.78999,1.30633,0.6713,0.91796,0,0.95918,0.86957,0.92375,0.78239,0.94632,0.91304,0.94121,0.66093,0.6272,1.01973,0.6455,0.91325,0,0.000454007,0.000454007,0.000454007
149,2886.59,0.92234,1.5998,0.68014,0.98925,0,0.95918,0.86957,0.92375,0.78239,0.94632,0.91304,0.94121,0.66093,0.6272,1.01973,0.6455,0.91325,0,0.000445756,0.000445756,0.000445756
150,2901.37,0.73401,1.1952,0.63106,0.90857,0,0.94615,0.86957,0.92327,0.78452,0.96914,0.91038,0.9402,0.64598,0.62469,1.02795,0.64804,0.9129,0,0.000437504,0.000437504,0.000437504
151,2917.28,0.91506,1.58341,0.69029,0.95955,0,0.94615,0.86957,0.92327,0.78452,0.96914,0.91038,0.9402,0.64598,0.62469,1.02795,0.64804,0.9129,0,0.000429253,0.000429253,0.000429253
152,2934.71,0.85712,1.48505,0.74332,1.00362,0,0.95304,0.88237,0.9217,0.78007,0.96449,0.91304,0.93949,0.64747,0.62998,1.02164,0.64773,0.91396,0,0.000421001,0.000421001,0.000421001
153,2953.41,0.90818,1.68446,0.76119,0.96294,0,0.95304,0.88237,0.9217,0.78007,0.96449,0.91304,0.93949,0.64747,0.62998,1.02164,0.64773,0.91396,0,0.000412749,0.000412749,0.000412749
154,2971.07,0.79028,1.36153,0.68343,0.95077,0,0.96284,0.89855,0.93744,0.78973,0.96916,0.91088,0.93964,0.64982,0.62265,1.01226,0.64188,0.91075,0,0.000404498,0.000404498,0.000404498
155,2988.17,0.87054,1.6313,0.69762,0.99108,0,0.96284,0.89855,0.93744,0.78973,0.96916,0.91088,0.93964,0.64982,0.62265,1.01226,0.64188,0.91075,0,0.000396246,0.000396246,0.000396246
156,3004.63,0.83439,1.46835,0.68657,0.94901,0,0.95231,0.89855,0.93871,0.79547,0.95249,0.91304,0.9404,0.6469,0.61452,1.01759,0.64076,0.90753,0,0.000387994,0.000387994,0.000387994
157,3020.11,0.83449,1.39207,0.72975,0.98179,0,0.95231,0.89855,0.93871,0.79547,0.95249,0.91304,0.9404,0.6469,0.61452,1.01759,0.64076,0.90753,0,0.000379743,0.000379743,0.000379743
158,3036.98,0.9152,1.55107,0.74589,0.97617,0,0.95973,0.89855,0.93726,0.79929,0.95149,0.91304,0.94008,0.64891,0.60099,1.04034,0.64105,0.9065,0,0.000371491,0.000371491,0.000371491
159,3055.32,0.89653,1.64127,0.72395,0.9762,0,0.95973,0.89855,0.93726,0.79929,0.95149,0.91304,0.94008,0.64891,0.60099,1.04034,0.64105,0.9065,0,0.000363239,0.000363239,0.000363239
160,3071.32,0.94106,1.62118,0.72829,0.96517,0,0.93791,0.88406,0.92845,0.80065,0.93515,0.89855,0.93054,0.64984,0.61103,1.04686,0.63552,0.9108,0,0.000354988,0.000354988,0.000354988
161,3087.57,0.90953,1.65614,0.77314,1.00303,0,0.93791,0.88406,0.92845,0.80065,0.93515,0.89855,0.93054,0.64984,0.61103,1.04686,0.63552,0.9108,0,0.000346736,0.000346736,0.000346736
162,3101.72,0.69116,1.19834,0.69563,0.91613,0,0.93503,0.88406,0.92925,0.79851,0.93922,0.89581,0.9309,0.66078,0.61882,1.03619,0.63007,0.91319,0,0.000338484,0.000338484,0.000338484
163,3118.69,0.73347,1.35742,0.65411,0.91847,0,0.93503,0.88406,0.92925,0.79851,0.93922,0.89581,0.9309,0.66078,0.61882,1.03619,0.63007,0.91319,0,0.000330233,0.000330233,0.000330233
164,3137.5,0.82807,1.41919,0.72118,0.93642,0,0.95271,0.87607,0.92887,0.80372,0.94102,0.92492,0.94163,0.66838,0.60519,1.01031,0.62671,0.90906,0,0.000321981,0.000321981,0.000321981
165,3154.12,0.77836,1.39913,0.66189,0.95033,0,0.95271,0.87607,0.92887,0.80372,0.94102,0.92492,0.94163,0.66838,0.60519,1.01031,0.62671,0.90906,0,0.000313729,0.000313729,0.000313729
166,3170.04,0.79041,1.33932,0.64108,0.91837,0,0.92224,0.89855,0.92727,0.80559,0.95217,0.92754,0.95166,0.68911,0.59979,0.98841,0.62705,0.90811,0,0.000305478,0.000305478,0.000305478
167,3187.45,0.87467,1.59523,0.74463,0.98106,0,0.92224,0.89855,0.92727,0.80559,0.95217,0.92754,0.95166,0.68911,0.59979,0.98841,0.62705,0.90811,0,0.000297226,0.000297226,0.000297226
168,3203.01,0.84735,1.44645,0.70248,0.97767,0,0.92613,0.90852,0.92683,0.81107,0.94919,0.92754,0.95177,0.69344,0.59096,0.97756,0.62146,0.90742,0,0.000288974,0.000288974,0.000288974
169,3222.43,0.84751,1.55397,0.72183,0.97267,0,0.92613,0.90852,0.92683,0.81107,0.94919,0.92754,0.95177,0.69344,0.59096,0.97756,0.62146,0.90742,0,0.000280723,0.000280723,0.000280723
170,3244.93,0.91567,1.73102,0.89373,1.0239,0,0.92615,0.90883,0.92737,0.8219,0.94888,0.92754,0.95198,0.69624,0.58751,0.97371,0.6158,0.90614,0,0.000272471,0.000272471,0.000272471
171,3268.79,0.90142,1.71586,0.91251,1.01325,0,0.92615,0.90883,0.92737,0.8219,0.94888,0.92754,0.95198,0.69624,0.58751,0.97371,0.6158,0.90614,0,0.00026422,0.00026422,0.00026422
172,3292.39,0.96488,1.8175,0.88096,1.09052,0,0.92599,0.90668,0.92745,0.81934,0.94809,0.92754,0.953,0.70187,0.59022,0.96707,0.61875,0.90705,0,0.000255968,0.000255968,0.000255968
173,3312.4,0.82566,1.39679,0.67583,0.94233,0,0.92599,0.90668,0.92745,0.81934,0.94809,0.92754,0.953,0.70187,0.59022,0.96707,0.61875,0.90705,0,0.000247716,0.000247716,0.000247716
174,3332.99,0.7763,1.39806,0.67917,0.95968,0,0.92601,0.90701,0.92818,0.81603,0.96075,0.92754,0.95413,0.70244,0.59353,0.95649,0.61106,0.90754,0,0.000239465,0.000239465,0.000239465
175,3354.3,0.7524,1.36162,0.63838,0.98472,0,0.92601,0.90701,0.92818,0.81603,0.96075,0.92754,0.95413,0.70244,0.59353,0.95649,0.61106,0.90754,0,0.000231213,0.000231213,0.000231213
176,3376.02,0.81816,1.3637,0.65195,0.94156,0,0.93155,0.91304,0.9276,0.81269,0.96959,0.9241,0.95405,0.70181,0.5846,0.94497,0.60832,0.90528,0,0.000222961,0.000222961,0.000222961
177,3398.03,0.86008,1.3755,0.68281,0.95002,0,0.93155,0.91304,0.9276,0.81269,0.96959,0.9241,0.95405,0.70181,0.5846,0.94497,0.60832,0.90528,0,0.00021471,0.00021471,0.00021471
178,3419.42,0.8206,1.4641,0.69279,0.97621,0,0.93453,0.91304,0.92841,0.81948,0.95455,0.91311,0.95403,0.6963,0.57393,0.94008,0.60468,0.90339,0,0.000206458,0.000206458,0.000206458
179,3440.83,0.75252,1.37652,0.60899,0.91886,0,0.93453,0.91304,0.92841,0.81948,0.95455,0.91311,0.95403,0.6963,0.57393,0.94008,0.60468,0.90339,0,0.000198206,0.000198206,0.000198206
180,3463.64,0.83054,1.59951,0.66544,0.95049,0,0.93411,0.91304,0.92792,0.81621,0.9528,0.91304,0.9487,0.69867,0.56997,0.94088,0.59803,0.90211,0,0.000189955,0.000189955,0.000189955
181,3486.77,0.77863,1.31512,0.67092,0.93459,0,0.93411,0.91304,0.92792,0.81621,0.9528,0.91304,0.9487,0.69867,0.56997,0.94088,0.59803,0.90211,0,0.000181703,0.000181703,0.000181703
182,3503.58,0.83316,1.42094,0.68693,0.95265,0,0.95194,0.91304,0.93119,0.81708,0.95928,0.91304,0.95088,0.69527,0.56767,0.94321,0.59316,0.89999,0,0.000173451,0.000173451,0.000173451
183,3520.58,0.82754,1.4456,0.67543,0.96058,0,0.95194,0.91304,0.93119,0.81708,0.95928,0.91304,0.95088,0.69527,0.56767,0.94321,0.59316,0.89999,0,0.0001652,0.0001652,0.0001652
184,3539.17,0.86806,1.63624,0.74905,0.98852,0,0.95416,0.90504,0.93279,0.80614,0.96265,0.91304,0.95185,0.6981,0.57055,0.94375,0.59223,0.89973,0,0.000156948,0.000156948,0.000156948
185,3557.21,0.83126,1.44193,0.71536,0.95225,0,0.95416,0.90504,0.93279,0.80614,0.96265,0.91304,0.95185,0.6981,0.57055,0.94375,0.59223,0.89973,0,0.000148696,0.000148696,0.000148696
186,3573.58,0.72158,1.24576,0.66341,0.94973,0,0.94025,0.91219,0.93199,0.80861,0.94917,0.91304,0.95108,0.7023,0.57605,0.94217,0.58677,0.89924,0,0.000140445,0.000140445,0.000140445
187,3588.69,0.72204,1.18302,0.62426,0.89893,0,0.94025,0.91219,0.93199,0.80861,0.94917,0.91304,0.95108,0.7023,0.57605,0.94217,0.58677,0.89924,0,0.000132193,0.000132193,0.000132193
188,3603.61,0.843,1.5704,0.72972,1.01969,0,0.95384,0.89845,0.93147,0.80576,0.9511,0.91304,0.94972,0.70418,0.57759,0.94216,0.5835,0.89789,0,0.000123941,0.000123941,0.000123941
189,3618.35,0.73795,1.3325,0.63893,0.92648,0,0.95384,0.89845,0.93147,0.80576,0.9511,0.91304,0.94972,0.70418,0.57759,0.94216,0.5835,0.89789,0,0.00011569,0.00011569,0.00011569
190,3634.39,0.87394,1.62591,0.71653,0.94933,0,0.95369,0.89547,0.9301,0.80912,0.96967,0.92656,0.95513,0.70815,0.57586,0.94338,0.57701,0.89701,0,0.000107438,0.000107438,0.000107438
191,3647.8,0.73889,1.27141,0.72312,0.93467,0,0.95369,0.89547,0.9301,0.80912,0.96967,0.92656,0.95513,0.70815,0.57586,0.94338,0.57701,0.89701,0,9.91865e-05,9.91865e-05,9.91865e-05
192,3661.16,0.69914,1.19072,0.7905,0.8896,0,0.95364,0.89434,0.93212,0.81752,0.96958,0.92382,0.95519,0.70967,0.57475,0.94623,0.57088,0.8962,0,9.09349e-05,9.09349e-05,9.09349e-05
193,3674.18,0.68378,1.17867,0.72843,0.94888,0,0.95364,0.89434,0.93212,0.81752,0.96958,0.92382,0.95519,0.70967,0.57475,0.94623,0.57088,0.8962,0,8.26832e-05,8.26832e-05,8.26832e-05
194,3688.74,0.68214,1.14174,0.76751,0.92516,0,0.95363,0.89415,0.9311,0.81745,0.96958,0.92392,0.95506,0.70399,0.57354,0.94569,0.57581,0.89415,0,7.44316e-05,7.44316e-05,7.44316e-05
195,3704.72,0.59267,1.05558,0.70227,0.89312,0,0.95363,0.89415,0.9311,0.81745,0.96958,0.92392,0.95506,0.70399,0.57354,0.94569,0.57581,0.89415,0,6.61799e-05,6.61799e-05,6.61799e-05
196,3724.99,0.68209,1.08279,0.70157,0.90683,0,0.95373,0.89624,0.9445,0.81887,0.95854,0.91304,0.94463,0.70777,0.57547,0.94364,0.57477,0.89363,0,5.79283e-05,5.79283e-05,5.79283e-05
197,3746.06,0.72963,1.26371,0.78033,0.91187,0,0.95373,0.89624,0.9445,0.81887,0.95854,0.91304,0.94463,0.70777,0.57547,0.94364,0.57477,0.89363,0,4.96766e-05,4.96766e-05,4.96766e-05
198,3769.37,0.67217,1.26513,0.80382,0.92622,0,0.9538,0.89753,0.94431,0.80926,0.9547,0.9163,0.94396,0.70784,0.57679,0.94189,0.57447,0.89314,0,4.1425e-05,4.1425e-05,4.1425e-05
199,3785.52,0.68856,1.22306,0.94378,0.9356,0,0.9538,0.89753,0.94431,0.80926,0.9547,0.9163,0.94396,0.70784,0.57679,0.94189,0.57447,0.89314,0,3.31733e-05,3.31733e-05,3.31733e-05
200,3801.57,0.63755,1.21565,0.74519,0.86289,0,0.94821,0.89855,0.94434,0.80716,0.95479,0.91823,0.94632,0.70939,0.57955,0.94346,0.57422,0.89324,0,2.49217e-05,2.49217e-05,2.49217e-05
